activity,containers,ingredients,tool,dish,subject,labels,className,fileName,startFrame,startTimeSeconds,endFrame,endTimeSeconds
enterV,[''],[''],[''],72.0,7.0,706.0,enterV,s07-d72-cam-002,194.0,6.632,243.0,8.299
take outV,"['fridge', '']",['bottle'],['hand'],72.0,7.0,2559.0,take outVhandbottlefridge,s07-d72-cam-002,270.0,9.205,414.0,14.115
take outV,"['cupboard', 'counter']",['glass-mug'],['hand'],72.0,7.0,2684.0,take outVhandglass mugcupboardcounter,s07-d72-cam-002,454.0,15.464,725.0,24.665
take outV,"['drawer', '']",['cap-opener'],['hand'],72.0,7.0,2592.0,take outVhandcap openerdrawer,s07-d72-cam-002,765.0,26.042,863.0,29.387
open capV,[''],['bottle'],['cap-opener'],72.0,7.0,1364.0,open capVcap openerbottle,s07-d72-cam-002,953.0,32.448,1131.0,38.503
pourV,['glass-mug'],['beer'],['bottle'],72.0,7.0,1498.0,pourVbottlebeerglass mug,s07-d72-cam-002,1200.0,40.826,1664.0,56.632
enterV,[''],[''],[''],2.0,8.0,706.0,enterV,s08-d02-cam-002,45.0,1.564,88.0,2.999
take outV,"['fridge', 'counter']",['cucumber'],['hand'],2.0,8.0,2629.0,take outVhandcucumberfridgecounter,s08-d02-cam-002,120.0,4.115,303.0,10.34
take outV,"['fridge', 'counter']",['tomato'],['hand'],2.0,8.0,2894.0,take outVhandtomatofridgecounter,s08-d02-cam-002,358.0,12.21,438.0,14.931
closeV,['fridge'],[''],['hand'],2.0,8.0,364.0,closeVhandfridge,s08-d02-cam-002,441.0,15.034,559.0,19.047
moveV,"['counter', 'counter']",['cucumber'],['hand'],2.0,8.0,966.0,moveVhandcucumbercountercounter,s08-d02-cam-002,561.0,19.115,629.0,21.428
take outV,"['drawer', 'counter']","['knife', 'side-peeler']",['hand'],2.0,8.0,2711.0,take outVhandknifeside peelerdrawercounter,s08-d02-cam-002,644.0,21.938,860.0,29.285
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],2.0,8.0,2637.0,take outVhandcutting boarddrawercounter,s08-d02-cam-002,870.0,29.625,1005.0,34.205
cut apartV,['counter'],['cucumber'],['knife'],2.0,8.0,434.0,cut apartVknifecucumbercounter,s08-d02-cam-002,1074.0,36.564,1164.0,39.625
put inV,"['counter', 'fridge']",['cucumber'],['hand'],2.0,8.0,1754.0,put inVhandcucumbercounterfridge,s08-d02-cam-002,1173.0,39.931,1397.0,47.551
peelV,[''],['cucumber'],['side-peeler'],2.0,8.0,1486.0,peelVside peelercucumber,s08-d02-cam-002,1433.0,48.775,2347.0,79.856
cut off endsV,[''],['cucumber'],['knife'],2.0,8.0,547.0,cut off endsVknifecucumber,s08-d02-cam-002,2365.0,80.476,2441.0,83.049
washV,[''],['cucumber'],['hand'],2.0,8.0,3151.0,washVhandcucumber,s08-d02-cam-002,2458.0,83.621,2522.0,85.816
shakeV,[''],['cucumber'],['hand'],2.0,8.0,2186.0,shakeVhandcucumber,s08-d02-cam-002,2522.0,85.816,2643.0,89.931
take outV,"['drawer', 'counter']",['bowl'],['hand'],2.0,8.0,2569.0,take outVhandbowldrawercounter,s08-d02-cam-002,2655.0,90.34,2835.0,96.462
cut apartV,[''],['cucumber'],['knife'],2.0,8.0,433.0,cut apartVknifecucumber,s08-d02-cam-002,2946.0,100.236,3207.0,109.103
cut diceV,[''],['cucumber'],['knife'],2.0,8.0,495.0,cut diceVknifecucumber,s08-d02-cam-002,3211.0,109.22,4001.0,136.122
scratch offV,"['knife', 'bowl']",['cucumber'],['hand'],2.0,8.0,2064.0,scratch offVhandcucumberknifebowl,s08-d02-cam-002,4001.0,136.122,4065.0,138.299
cutV,[],['cucumber'],['knife'],2.0,8.0,637.0,cutVknifecucumber,s08-d02-cam-002,4065.0,138.299,4126.0,140.374
cut diceV,[''],['cucumber'],['knife'],2.0,8.0,495.0,cut diceVknifecucumber,s08-d02-cam-002,4134.0,140.646,4489.0,152.721
pull apartV,[''],['cucumber'],['hand'],2.0,8.0,1605.0,pull apartVhandcucumber,s08-d02-cam-002,4489.0,152.721,4566.0,155.34
washV,[''],['tomato'],['hand'],2.0,8.0,3227.0,washVhandtomato,s08-d02-cam-002,4687.0,159.424,4803.0,163.401
shakeV,[''],['tomato'],['hand'],2.0,8.0,2260.0,shakeVhandtomato,s08-d02-cam-002,4820.0,163.979,4851.0,165.034
cut apartV,['cutting-board'],['tomato'],['knife'],2.0,8.0,477.0,cut apartVknifetomatocutting board,s08-d02-cam-002,4881.0,166.054,4926.0,167.585
sliceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,2338.0,sliceVknifetomatocutting board,s08-d02-cam-002,4965.0,168.895,5074.0,172.619
cut diceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,515.0,cut diceVknifetomatocutting board,s08-d02-cam-002,5077.0,172.693,5185.0,176.369
addV,"['cutting-board', 'bowl']",['tomato'],['hand'],2.0,8.0,151.0,addVhandtomatocutting boardbowl,s08-d02-cam-002,5200.0,176.904,5252.0,178.673
addV,"['cutting-board', 'bowl']",['tomato'],"['hand', 'knife']",2.0,8.0,102.0,addVhandknifetomatocutting boardbowl,s08-d02-cam-002,5260.0,178.945,5305.0,180.476
