ID,label
change20.pkl.gz,change
spread9.pkl.gz,spread
move1506.pkl.gz,move
rip22.pkl.gz,rip
take1694.pkl.gz,take
pull148.pkl.gz,pull
dry123.pkl.gz,dry
take492.pkl.gz,take
rip42.pkl.gz,rip
screw13.pkl.gz,screw
wash21.pkl.gz,wash
add108.pkl.gz,add
take1013.pkl.gz,take
take1399.pkl.gz,take
close213.pkl.gz,close
take1662.pkl.gz,take
dry94.pkl.gz,dry
take1545.pkl.gz,take
take1529.pkl.gz,take
take1335.pkl.gz,take
shake201.pkl.gz,shake
put9.pkl.gz,put
take1360.pkl.gz,take
throw69.pkl.gz,throw
pour103.pkl.gz,pour
wash10.pkl.gz,wash
add390.pkl.gz,add
close14.pkl.gz,close
pull231.pkl.gz,pull
change142.pkl.gz,change
slice118.pkl.gz,slice
enter214.pkl.gz,enter
add546.pkl.gz,add
shake84.pkl.gz,shake
wash464.pkl.gz,wash
wash326.pkl.gz,wash
turn49.pkl.gz,turn
take496.pkl.gz,take
enter34.pkl.gz,enter
take794.pkl.gz,take
shake464.pkl.gz,shake
chop78.pkl.gz,chop
wash6.pkl.gz,wash
close210.pkl.gz,close
take1610.pkl.gz,take
add33.pkl.gz,add
take354.pkl.gz,take
screw141.pkl.gz,screw
add359.pkl.gz,add
turn64.pkl.gz,turn
shake99.pkl.gz,shake
open277.pkl.gz,open
stir165.pkl.gz,stir
clean21.pkl.gz,clean
read11.pkl.gz,read
cut651.pkl.gz,cut
chop128.pkl.gz,chop
move1425.pkl.gz,move
slice76.pkl.gz,slice
add34.pkl.gz,add
tap32.pkl.gz,tap
screw422.pkl.gz,screw
peel275.pkl.gz,peel
take570.pkl.gz,take
cut988.pkl.gz,cut
take1630.pkl.gz,take
put300.pkl.gz,put
close171.pkl.gz,close
move281.pkl.gz,move
take1904.pkl.gz,take
open138.pkl.gz,open
move527.pkl.gz,move
peel105.pkl.gz,peel
grate71.pkl.gz,grate
add658.pkl.gz,add
add687.pkl.gz,add
move334.pkl.gz,move
put231.pkl.gz,put
enter37.pkl.gz,enter
put53.pkl.gz,put
move155.pkl.gz,move
peel32.pkl.gz,peel
screw423.pkl.gz,screw
throw158.pkl.gz,throw
cut508.pkl.gz,cut
screw294.pkl.gz,screw
take1140.pkl.gz,take
throw339.pkl.gz,throw
take913.pkl.gz,take
put40.pkl.gz,put
move608.pkl.gz,move
fill65.pkl.gz,fill
put790.pkl.gz,put
wash200.pkl.gz,wash
put731.pkl.gz,put
scratch54.pkl.gz,scratch
close286.pkl.gz,close
throw324.pkl.gz,throw
throw347.pkl.gz,throw
take1897.pkl.gz,take
slice389.pkl.gz,slice
wash521.pkl.gz,wash
add757.pkl.gz,add
move563.pkl.gz,move
take1875.pkl.gz,take
shake113.pkl.gz,shake
put888.pkl.gz,put
cut1131.pkl.gz,cut
hang30.pkl.gz,hang
wash53.pkl.gz,wash
cut682.pkl.gz,cut
peel271.pkl.gz,peel
enter204.pkl.gz,enter
pour185.pkl.gz,pour
put976.pkl.gz,put
turn6.pkl.gz,turn
stir223.pkl.gz,stir
wash649.pkl.gz,wash
dry158.pkl.gz,dry
chop42.pkl.gz,chop
remove61.pkl.gz,remove
add128.pkl.gz,add
slice102.pkl.gz,slice
take7.pkl.gz,take
close132.pkl.gz,close
test32.pkl.gz,test
shape18.pkl.gz,shape
take527.pkl.gz,take
scratch17.pkl.gz,scratch
cut101.pkl.gz,cut
change17.pkl.gz,change
move43.pkl.gz,move
move1129.pkl.gz,move
pull92.pkl.gz,pull
spice46.pkl.gz,spice
stir191.pkl.gz,stir
add770.pkl.gz,add
move1183.pkl.gz,move
strew13.pkl.gz,strew
cut833.pkl.gz,cut
wash201.pkl.gz,wash
